strategy,load,density,n,critical_mean_wait_h_mean,critical_mean_wait_h_sd,critical_p95_wait_h_mean,critical_p95_wait_h_sd,urgent_within_6h_pct_mean,urgent_within_6h_pct_sd,mean_wait_h_mean,mean_wait_h_sd,p95_wait_h_mean,p95_wait_h_sd,utilisation_gini_mean,utilisation_gini_sd,mean_distance_km_mean,mean_distance_km_sd,cross_cluster_pct_mean,cross_cluster_pct_sd,completed_within_horizon_pct_mean,completed_within_horizon_pct_sd,regional_fairness_jain_mean,regional_fairness_jain_sd
FIFO,LOW,SPARSE,10,0.6609,0.5684,2.3551,1.7539,99.0909,2.8748,0.7977,0.5942,3.2020,1.6350,0.0209,0.0065,54.1695,3.5739,66.8056,4.6504,92.0833,4.1435,1.0000,0.0000
FIFO,LOW,DENSE,10,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0848,0.0222,54.6842,3.0232,66.6667,4.1409,92.3611,3.4178,1.0000,0.0000
FIFO,MEDIUM,SPARSE,10,18.9149,5.5782,34.9415,4.8627,17.4241,6.9392,19.2839,2.6178,36.6568,2.9634,0.0091,0.0022,52.1878,2.4083,65.3472,3.2316,61.8056,1.7322,0.9929,0.0046
FIFO,MEDIUM,DENSE,10,0.0045,0.0143,0.0631,0.1996,100.0000,0.0000,0.0018,0.0043,0.0000,0.0000,0.0524,0.0098,54.3630,2.7382,66.1111,4.6619,92.5000,1.5631,1.0000,0.0000
FIFO,HIGH,SPARSE,10,75.6545,8.4012,145.3838,7.9800,5.0677,0.8720,75.2057,4.2946,143.9463,8.1575,0.0046,0.0016,53.6786,3.3874,65.6944,3.5779,30.5208,1.6241,0.9615,0.0456
FIFO,HIGH,DENSE,10,2.2258,1.1311,5.3099,1.5631,94.9360,6.4861,2.2626,1.0300,5.4501,1.6329,0.0162,0.0027,54.1623,2.4889,65.0694,2.9426,86.9444,3.0718,1.0000,0.0000
WEIGHTED_SCORING,LOW,SPARSE,10,0.3745,0.2259,1.5422,0.9795,99.6429,1.1294,0.8287,0.5539,4.1584,2.6706,0.0279,0.0079,53.8001,2.6262,65.6944,4.5385,92.3611,3.7753,1.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,10,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0853,0.0247,54.4647,2.9485,66.2500,4.0387,92.3611,3.4178,1.0000,0.0000
WEIGHTED_SCORING,MEDIUM,SPARSE,10,1.4436,0.5918,8.1046,5.8475,74.6292,8.3491,20.2119,3.2830,74.3873,10.0066,0.0093,0.0029,54.1535,2.9648,67.9167,4.6041,60.5556,2.4454,0.9881,0.0154
WEIGHTED_SCORING,MEDIUM,DENSE,10,0.0041,0.0129,0.0571,0.1806,100.0000,0.0000,0.0014,0.0043,0.0000,0.0000,0.0520,0.0098,53.2877,2.1634,64.3750,3.3871,92.8472,1.5020,1.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,10,11.7745,2.9225,36.8257,7.1940,34.6693,4.7848,75.3495,2.6795,179.3614,5.1768,0.0045,0.0011,53.9810,1.7281,66.1806,2.8454,30.5556,0.9684,0.9723,0.0252
WEIGHTED_SCORING,HIGH,DENSE,10,0.2881,0.1025,0.9555,0.4344,99.5290,0.6680,2.2611,1.0611,13.6999,6.5668,0.0166,0.0033,53.6154,1.8166,64.1319,2.8494,86.8056,2.5199,0.9999,0.0001
GEO_NEAREST,LOW,SPARSE,10,0.1285,0.1295,0.6627,0.7142,100.0000,0.0000,0.1775,0.1493,1.1173,0.8184,0.0691,0.0196,30.9522,2.8647,32.6389,3.7753,95.5556,2.9134,1.0000,0.0000
GEO_NEAREST,LOW,DENSE,10,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3855,0.0550,6.4960,0.5389,0.0000,0.0000,95.5556,3.1263,1.0000,0.0000
GEO_NEAREST,MEDIUM,SPARSE,10,2.8134,1.8580,13.4628,13.1182,88.5971,4.1448,3.0252,0.5123,11.5073,3.8732,0.0146,0.0037,22.9569,2.0171,21.1111,3.3417,90.9028,2.7477,0.9996,0.0007
GEO_NEAREST,MEDIUM,DENSE,10,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2756,0.0436,8.3960,0.9694,1.1111,0.9374,96.1806,1.1458,1.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,10,25.9290,4.0578,91.7221,9.6991,49.5064,4.6062,25.3294,1.2055,94.7870,3.4498,0.0071,0.0023,15.7980,0.9335,11.8403,1.6241,59.0972,0.7816,0.9379,0.0108
GEO_NEAREST,HIGH,DENSE,10,0.0630,0.0725,0.4336,0.5070,100.0000,0.0000,0.0788,0.0400,0.4772,0.2409,0.0666,0.0098,23.9457,3.2955,22.2222,4.4766,94.6528,2.3675,1.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,10,0.1268,0.0974,0.6798,0.6431,100.0000,0.0000,0.2474,0.2023,1.5724,1.4547,0.0644,0.0143,32.1642,5.0215,34.0278,7.3857,95.0000,4.2532,1.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,10,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3855,0.0550,6.4977,0.5376,0.0000,0.0000,95.5556,3.1263,1.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,10,0.5108,0.1785,1.4331,0.4856,99.4472,1.2588,9.4976,2.0219,37.8849,10.7623,0.0098,0.0014,32.0853,1.7771,33.2639,2.3933,77.4306,2.3889,0.9964,0.0034
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,10,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2760,0.0437,8.3969,0.9701,1.1111,0.9374,96.1806,1.1458,1.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,10,0.7141,0.1939,1.8974,0.7209,76.9139,5.4757,42.0909,1.8420,113.7153,3.3860,0.0052,0.0013,22.7518,1.3668,20.6944,2.3160,41.4236,1.4645,0.9874,0.0095
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,10,0.0437,0.0351,0.2472,0.1615,100.0000,0.0000,0.1802,0.0920,0.9610,0.4571,0.0562,0.0159,27.3424,3.9506,27.1875,5.2020,93.9236,2.6908,1.0000,0.0000
