strategy,load,density,repetition,seed,requests,providers,critical_mean_wait_h,critical_p95_wait_h,urgent_within_6h_pct,mean_wait_h,p95_wait_h,utilisation_gini,mean_distance_km,cross_cluster_pct,completed_within_horizon_pct,regional_fairness_jain,escalated_pct,unassigned_pct
FIFO,LOW,SPARSE,0,20260917,72,6,1.1500,3.0833,100.0000,1.0294,3.5833,0.0243,55.6828,68.0556,93.0556,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,SPARSE,0,20260917,72,6,1.8357,4.2500,100.0000,1.7194,7.4333,0.0240,61.4345,76.3889,91.6667,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,SPARSE,0,20260917,72,6,0.1214,0.7167,100.0000,0.1979,1.0333,0.0802,36.7916,40.2778,95.8333,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,0,20260917,72,6,0.1214,0.7167,100.0000,0.1979,1.0333,0.0809,37.5448,41.6667,95.8333,1.0000,0.0000,0.0000
FIFO,LOW,SPARSE,1,20260918,72,6,1.4444,8.6667,86.3636,1.8986,9.8000,0.0508,55.2036,68.0556,88.8889,1.0000,1.3889,0.0000
WEIGHTED_SCORING,LOW,SPARSE,1,20260918,72,6,0.2778,1.6667,100.0000,2.0613,11.5167,0.0445,55.0992,65.2778,86.1111,1.0000,1.3889,0.0000
GEO_NEAREST,LOW,SPARSE,1,20260918,72,6,1.0361,4.0500,100.0000,0.8782,4.4000,0.0401,32.5075,34.7222,97.2222,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,1,20260918,72,6,0.4528,2.1667,100.0000,1.2106,6.0667,0.0530,33.9128,36.1111,95.8333,1.0000,0.0000,0.0000
FIFO,LOW,SPARSE,2,20260919,72,6,0.7750,3.1667,100.0000,0.5769,2.5667,0.0287,53.1291,65.2778,95.8333,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,SPARSE,2,20260919,72,6,0.4333,1.6667,100.0000,0.6590,3.1833,0.0179,57.1996,73.6111,93.0556,1.0000,0.0000,0.0000
